NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Jaden Springer,sprinja01,22,SG,1.7,0.4,0.9,0.5,0.0,https://www.basketball-reference.com/players/s/sprinja01.html
Dennis Schröder,schrode01,31,PG,18.4,6.6,3.0,1.1,0.2,https://www.basketball-reference.com/players/s/schrode01.html
Cameron Johnson,johnsca02,28,PF,18.8,3.4,4.3,0.9,0.4,https://www.basketball-reference.com/players/j/johnsca02.html
Cam Thomas,thomaca02,23,SG,24.0,3.8,3.3,0.6,0.1,https://www.basketball-reference.com/players/t/thomaca02.html
Dorian Finney-Smith,finnedo01,31,PF,10.4,1.6,4.6,0.9,0.6,https://www.basketball-reference.com/players/f/finnedo01.html
Drew Timme,timmedr01,24,PF,12.1,2.2,7.2,0.4,0.1,https://www.basketball-reference.com/players/t/timmedr01.html
Killian Hayes,hayeski01,23,PG,9.0,5.2,3.0,0.7,0.7,https://www.basketball-reference.com/players/h/hayeski01.html
Nic Claxton,claxtni01,25,C,10.3,2.2,7.4,0.9,1.4,https://www.basketball-reference.com/players/c/claxtni01.html
Jalen Wilson,wilsoja03,24,PF,9.5,1.8,3.4,0.5,0.1,https://www.basketball-reference.com/players/w/wilsoja03.html
Ben Simmons,simmobe01,28,PG,6.2,6.9,5.2,0.8,0.5,https://www.basketball-reference.com/players/s/simmobe01.html
D'Angelo Russell,russeda01,28,PG,12.9,5.6,2.8,1.1,0.7,https://www.basketball-reference.com/players/r/russeda01.html
Ziaire Williams,willizi02,23,SF,10.0,1.3,4.6,1.0,0.4,https://www.basketball-reference.com/players/w/willizi02.html
Keon Johnson,johnske07,22,SG,10.6,2.2,3.8,1.0,0.4,https://www.basketball-reference.com/players/j/johnske07.html
Tosan Evbuomwan,evbuoto01,23,SF,9.5,2.0,4.3,0.9,0.4,https://www.basketball-reference.com/players/e/evbuoto01.html
Noah Clowney,clownno01,20,PF,9.1,0.9,3.9,0.5,0.5,https://www.basketball-reference.com/players/c/clownno01.html
Tyrese Martin,martity01,25,SG,8.7,2.0,3.7,0.6,0.2,https://www.basketball-reference.com/players/m/martity01.html
Tyson Etienne,etienty01,25,PG,7.9,1.7,1.3,0.4,0.1,https://www.basketball-reference.com/players/e/etienty01.html
Trendon Watford,watfotr01,24,PF,10.2,2.6,3.6,0.6,0.3,https://www.basketball-reference.com/players/w/watfotr01.html
Shake Milton,miltosh01,28,SG,7.4,2.4,1.9,0.6,0.0,https://www.basketball-reference.com/players/m/miltosh01.html
Day'Ron Sharpe,sharpda01,23,C,7.9,1.8,6.6,0.8,0.8,https://www.basketball-reference.com/players/s/sharpda01.html
Maxwell Lewis,lewisma05,22,SF,5.3,0.8,2.5,0.4,0.3,https://www.basketball-reference.com/players/l/lewisma05.html
Reece Beekman,beekmre01,23,PG,2.7,1.8,1.1,0.9,0.1,https://www.basketball-reference.com/players/b/beekmre01.html
Dariq Whitehead,whiteda01,20,SF,5.7,0.6,1.5,0.3,0.1,https://www.basketball-reference.com/players/w/whiteda01.html
Cui Yongxi,cuiyo01,21,SG,0.6,0.0,0.4,0.0,0.0,https://www.basketball-reference.com/players/c/cuiyo01.html
Jaylen Martin,martija02,21,SF,1.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/players/m/martija02.html
Zach LaVine,lavinza01,29,SF,24.0,4.5,4.8,0.9,0.2,https://www.basketball-reference.com/players/l/lavinza01.html
Coby White,whiteco01,24,SG,20.4,4.5,3.7,0.9,0.2,https://www.basketball-reference.com/players/w/whiteco01.html
Nikola Vučević,vucevni01,34,C,18.5,3.5,10.1,0.8,0.7,https://www.basketball-reference.com/players/v/vucevni01.html
Ayo Dosunmu,dosunay01,25,SG,12.3,4.5,3.5,0.9,0.4,https://www.basketball-reference.com/players/d/dosunay01.html
Josh Giddey,giddejo01,22,PG,14.6,7.2,8.1,1.2,0.6,https://www.basketball-reference.com/players/g/giddejo01.html
Kevin Huerter,huertke01,26,SG,13.2,3.2,3.3,1.2,0.3,https://www.basketball-reference.com/players/h/huertke01.html
Tre Jones,jonestr01,25,PG,11.5,4.9,3.2,1.1,0.3,https://www.basketball-reference.com/players/j/jonestr01.html
Patrick Williams,willipa01,23,PF,9.0,2.0,3.8,0.8,0.5,https://www.basketball-reference.com/players/w/willipa01.html
Lonzo Ball,balllo01,27,PG,7.6,3.3,3.4,1.3,0.5,https://www.basketball-reference.com/players/b/balllo01.html
Zach Collins,colliza01,27,PF,8.6,2.1,6.7,0.5,0.5,https://www.basketball-reference.com/players/c/colliza01.html
Matas Buzelis,buzelma01,20,SF,8.6,1.0,3.5,0.4,0.9,https://www.basketball-reference.com/players/b/buzelma01.html
Jalen Smith,smithja04,24,C,8.2,1.0,5.6,0.3,0.7,https://www.basketball-reference.com/players/s/smithja04.html
Julian Phillips,phillju01,21,SF,4.6,0.5,2.1,0.5,0.3,https://www.basketball-reference.com/players/p/phillju01.html
Dalen Terry,terryda01,22,SG,4.5,1.3,1.7,0.6,0.2,https://www.basketball-reference.com/players/t/terryda01.html
Torrey Craig,craigto01,34,SF,6.9,0.6,2.8,0.2,0.1,https://www.basketball-reference.com/players/c/craigto01.html
Talen Horton-Tucker,hortota01,24,SG,6.5,1.4,1.7,0.4,0.2,https://www.basketball-reference.com/players/h/hortota01.html
Jevon Carter,carteje01,29,PG,4.3,1.1,1.1,0.4,0.1,https://www.basketball-reference.com/players/c/carteje01.html
